,bytes,Tamaño en bytes,Recibido en bytes,tiempo tardado,bw 
3676,5160,41346,41346,0.0001468658447265,268.4805194805195
3685,5170,41346,20680,0.0001461505889892,134.94290375203914
3688,5180,41346,41346,0.0001895427703857,208.03018867924527
3695,5190,41346,25950,0.0001513957977294,163.46456692913387
3698,5200,41346,36400,0.0001578330993652,219.93957703927487
3701,5210,41346,36470,0.0001585483551025,219.3684210526316
3709,5220,41346,41346,0.0001623630523681,242.8546255506608
3714,5230,41346,31380,0.0001375675201416,217.53899480069325
3718,5240,41346,36680,0.0001428127288818,244.9415692821369
3725,5250,41346,41346,0.0001544952392578,255.22222222222223
3726,5260,41346,36820,0.0001735687255859,202.30769230769232
3731,5270,41346,41346,0.0001397132873535,282.22525597269623
3738,5280,41346,41346,0.0001544952392578,255.22222222222223
3743,5290,41346,37030,0.0001411437988281,250.2027027027027
3749,5300,41346,31800,0.0001392364501953,217.8082191780822
3754,5310,41346,41346,0.0001437664031982,274.2686567164179
3760,5320,41346,37240,0.0001468658447265,241.8181818181818
3762,5330,41346,31980,0.0001857280731201,164.21052631578948
3769,5340,41346,41346,0.000150442123413,262.0982567353407
3772,5350,41346,41346,0.0001990795135498,198.06467065868264
3776,5360,41346,41346,0.0001697540283203,232.2808988764045
3784,5370,41346,37590,0.0001630783081054,219.8245614035088
3786,5380,41346,41346,0.0001449584960937,272.0131578947368
3794,5390,41346,41346,0.0001666545867919,236.60085836909872
3799,5400,41346,41346,0.0001881122589111,209.61216730038024
3804,5410,41346,41346,0.0001404285430908,280.78777589134125
3808,5420,41346,37940,0.0001528263092041,236.7550702028081
3813,5430,41346,41346,0.000166893005371,236.26285714285717
3816,5440,41346,32640,0.0001423358917236,218.69346733668343
3825,5450,41346,41346,0.0001592636108398,247.5808383233533
3828,5460,41346,32760,0.0001506805419921,207.34177215189877
3831,5470,41346,41346,0.0001449584960937,272.0131578947368
3840,5480,41346,32880,0.0001680850982666,186.5531914893617
3842,5490,41346,32940,0.0001473426818847,213.2038834951456
3849,5500,41346,38500,0.0001685619354248,217.82178217821783
3852,5510,41346,41346,0.0002086162567138,189.0102857142857
3857,5520,41346,41346,0.0001599788665771,246.47391952309985
3862,5530,41346,41346,0.0001602172851562,246.1071428571429
3869,5540,41346,41346,0.0001466274261474,268.9170731707317
3872,5550,41346,41346,0.0001442432403564,273.3619834710744
3876,5560,41346,41346,0.0001516342163085,260.0377358490566
3882,5570,41346,41346,0.0001740455627441,226.55342465753424
3890,5580,41346,33480,0.0001380443572998,231.2953367875648
3891,5590,41346,41346,0.0001490116119384,264.6144
3896,5600,41346,28000,0.0001416206359863,188.5521885521885
3901,5610,41346,33660,0.0001404285430908,228.590831918506
